ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.03167368,1.15316165,18.595678,16.645231,15.943319,15.682344,15.578901,18.957605,16.976768,16.293867,16.018532,15.905257,18.63619,16.671331,15.961687,15.718023,15.579572
1.0316587,1.15315437,18.597849,16.645243,15.943293,15.682412,15.580227,18.954197,16.976156,16.293753,16.018787,15.90812,18.660439,16.674253,15.964002,15.72095,15.592981
1.03323436,1.25172711,18.439728,17.268217,16.774305,16.582159,16.515066,18.761585,17.567966,17.127569,16.92465,16.843159,18.397909,17.25119,16.807917,16.62645,16.525019
1.03321879,1.25172185,18.438158,17.268116,16.774466,16.582037,16.517662,18.759497,17.567738,17.128017,16.924629,16.849552,18.407366,17.255856,16.812725,16.631397,16.556356
1.0342359,1.18599343,19.810263,19.055811,18.76017,18.594296,18.573803,20.208025,19.367935,19.112823,18.934931,18.845469,19.870752,19.053835,18.797041,18.648369,18.456577
1.03448459,1.25699382,19.747902,18.838322,18.506763,18.401539,18.375448,20.079128,19.125864,18.859192,18.75012,18.714666,19.774025,18.810064,18.549095,18.454666,18.345995
1.02958109,1.12180325,22.806442,21.762108,20.259789,18.822636,18.030235,23.056368,22.103401,20.629215,19.157295,18.380573,22.533787,22.05032,20.277348,18.860542,18.071133
1.03174787,1.22253406,23.37536,21.418653,19.959822,19.030272,18.539574,23.515039,21.771475,20.325441,19.379877,18.859322,22.154116,21.548611,20.004427,19.081285,18.548605
1.03567646,1.13039953,23.761997,21.728355,20.215963,19.493692,19.069448,23.824371,22.143724,20.587114,19.859148,19.444981,22.912731,21.833752,20.270357,19.533358,19.117952
1.03049589,1.2371835,21.78887,25.35705,25.528696,23.885513,22.678856,22.309263,25.54467,25.814402,24.170887,21.990698,22.448177,25.393982,26.073343,24.374964,21.597656
1.03005761,1.2249217,24.1262,22.775787,21.83927,21.787964,21.991081,23.750624,22.920135,22.038279,22.011154,21.568287,24.753248,22.469204,21.836983,21.007719,21.037237
1.03390413,1.11380863,21.86129,21.146318,20.010157,19.682852,19.378492,21.866436,21.013927,20.113842,19.662592,19.211565,20.477261,20.294764,19.367252,18.930824,18.522108
1.02908998,1.24544949,23.75926,22.895741,22.590588,22.34963,21.812183,24.108315,23.206913,23.157179,22.907982,22.486374,27.082195,23.869291,23.666605,25.729359,24.600292
1.0300037,1.04685462,23.210651,22.095509,21.140186,20.759596,20.593678,23.161018,22.069368,21.300959,20.841311,20.418575,26.867428,20.890072,20.292521,20.068237,19.838449
1.03083479,1.16960341,22.78981,22.924397,21.348694,20.143112,19.552416,23.119324,23.23443,21.723158,20.466183,19.849323,21.137379,21.610123,20.781492,19.569262,19.279482
1.03084069,1.16958921,22.91992,22.997911,21.407709,20.153778,19.598366,22.996742,23.326586,21.721083,20.480579,19.859655,22.29344,22.520998,21.520824,20.247311,19.61042
1.03042232,1.17046063,25.286905,23.234579,21.637693,21.119547,20.652693,23.752741,23.547836,21.879089,21.193447,20.921141,25.241495,23.125856,21.624228,20.689869,21.8419
1.03099589,1.16626411,25.392618,23.220482,22.314291,21.715513,21.148962,25.369854,23.6516,22.601784,22.019892,21.492111,19.5047,23.343397,22.288063,21.980234,21.185524
1.03099589,1.16626411,25.688837,23.22467,22.314291,21.715414,21.1756,25.657036,23.644367,22.568792,22.032467,21.49225,19.504644,23.343397,22.288063,21.980234,21.185534
1.02913757,1.22120904,25.213455,23.647533,22.477821,21.948317,21.387318,24.366959,23.69334,22.655472,21.981234,21.147694,23.764141,22.100628,22.382261,21.808533,19.846996
1.03098421,1.13174492,24.621019,23.628685,22.005058,21.352642,20.744913,24.600723,23.607761,22.157124,21.695997,21.180391,22.410242,23.087915,21.237814,21.546309,22.315418
1.03128623,1.23524818,23.000391,23.701981,22.321339,22.128429,22.750717,23.0798,23.747898,22.481985,22.392242,22.851446,21.304504,23.188683,22.376732,21.824881,23.986691
1.03212617,1.08042902,24.614988,23.218605,22.088913,22.286989,22.709631,24.740622,23.086882,22.320213,22.227999,22.043272,21.781593,21.100998,21.221022,21.772146,25.351891
1.03357945,1.17395035,23.304996,23.522081,22.5665,21.933306,21.468529,23.517532,23.680384,22.773054,21.949047,21.286591,27.157949,21.456203,21.392315,22.229944,20.42507
1.03511022,1.17482084,23.327059,24.386116,22.31835,22.296709,22.603315,23.965288,24.105782,22.554663,22.322905,22.649603,24.329071,24.110384,21.821798,24.939089,22.455509
1.03579334,1.24222897,22.913935,23.271849,22.505087,21.804625,22.06003,22.869324,23.184238,22.592463,21.899828,21.815987,24.481756,23.072372,22.425215,21.450083,21.929752
1.03617847,1.25495338,23.300373,24.458647,22.295776,21.490147,20.539492,23.263905,24.195929,22.57218,21.616522,20.541706,21.383951,22.675293,21.591784,20.923811,19.676126
1.03629544,1.15292268,23.892563,23.512159,22.535,22.425171,23.630083,24.379391,23.567476,22.825014,22.495171,23.618938,27.404926,20.983528,21.858936,20.882675,24.919437
1.03098493,1.17237732,23.25107,23.657923,23.0212,21.569702,20.567501,23.040203,24.125418,23.264336,21.776604,20.96303,22.425089,26.184422,22.540703,21.062683,20.206146
1.0308871,1.2436324,24.864504,23.57547,23.143646,21.792877,21.234619,25.175419,24.072397,23.404011,22.11327,21.810139,26.270824,23.832466,23.712734,22.177841,23.004833
1.03176063,1.09701462,25.063318,23.421986,23.114414,21.826393,21.428192,23.700764,23.605267,23.468416,22.109844,22.121613,22.178219,23.38133,22.929188,22.009886,22.861691
1.03443128,1.07678328,24.082619,24.263626,22.599977,21.122368,20.359882,24.369982,24.046972,22.675552,21.348396,20.482548,22.483006,22.212542,22.006281,20.609138,19.573168
1.03620056,1.24971758,23.041315,23.849998,23.07279,21.647247,20.797256,23.37517,23.716928,23.131693,21.756153,20.888901,21.742281,23.59605,22.192432,21.531736,20.241539
1.03016414,1.20930216,25.726986,25.145784,26.534328,25.527325,20.706131,25.703001,25.227209,26.373373,25.480537,20.861124,26.363142,25.164774,26.836271,26.317568,20.77113
1.27604059,1.04487571,25.617083,22.125942,20.971375,20.327255,20.044909,25.1134,22.060631,20.958496,20.316912,20.112076,23.558786,21.538914,20.047419,19.251842,20.476563
1.27583436,1.0494806,22.425896,22.952295,22.43902,21.773787,21.129091,22.631426,23.279572,22.81311,22.012962,21.861507,22.611416,23.363245,22.696886,21.661518,22.692434
1.27608609,1.21693482,23.503384,20.929483,19.583384,18.250389,17.584158,23.77375,21.251101,19.925953,18.605453,17.937149,25.219368,20.880991,19.627989,18.317757,17.671072
1.27643828,1.12862816,20.758196,18.461584,17.515049,17.194878,16.993753,21.0667,18.811266,17.863724,17.543549,17.351917,14.850185,13.471771,12.849847,12.85847,11.587277
1.27642077,1.12861929,20.761723,18.462976,17.515913,17.196657,16.992239,21.091393,18.813587,17.865204,17.547735,17.348747,20.707411,18.508881,17.574776,17.255409,17.065084
1.27668053,1.09968491,22.778929,20.865757,19.7579,19.359159,19.129185,23.026972,21.2187,20.114962,19.744169,19.574003,22.256332,20.87002,19.830219,19.537804,19.318661
1.27362594,1.22607807,23.256424,22.569618,21.581806,20.8167,20.369144,23.336195,22.629364,21.626396,20.979879,20.276838,21.868084,21.710306,21.146086,20.467968,19.785727
1.27365995,1.08003069,24.812675,23.037449,22.033314,21.35158,20.649023,24.946062,23.094812,22.131615,21.511715,20.972752,27.607107,22.607903,21.847628,21.037243,20.473425
1.27440952,1.25430814,22.264025,22.180435,21.588079,21.237555,21.908113,22.309832,21.977222,21.425249,21.137613,21.332739,20.688059,20.444834,20.025711,19.606848,19.390957
1.27465422,1.05395329,22.381788,22.207115,21.611345,21.463552,21.354658,22.865295,22.744606,22.048864,21.992666,22.284086,23.061213,22.599436,21.877939,21.895523,22.69663
1.27454665,1.07089586,24.188408,23.028637,21.914038,21.640961,21.417318,24.346064,23.216106,22.12077,21.665653,21.713156,22.778313,22.87191,21.96916,21.171288,22.057646
1.27487349,1.15798741,24.699902,23.07621,22.11087,21.455624,21.309412,23.955202,23.056675,22.164553,21.549257,20.953346,22.17462,22.753685,21.50284,21.101254,20.79405
1.275108,1.20676549,22.809969,23.21195,22.271362,21.672533,21.026886,23.02113,23.365091,22.395796,21.773283,21.136904,23.506584,22.803675,22.378298,21.581936,21.194981
1.27513155,1.2324493,22.723743,23.1724,23.002892,22.901688,22.743387,22.829432,23.353174,23.152403,23.487223,23.163021,21.220106,22.642956,23.228756,26.602125,20.797289
1.2755218,1.15528463,23.211731,22.696688,22.213305,21.891855,21.809788,23.207579,22.89315,22.402206,22.126524,21.770643,25.057629,21.944992,21.445175,21.499458,22.702164
1.27575072,1.24389297,24.0137,22.807638,22.010197,21.926161,21.346218,22.980625,22.873575,22.221617,22.074974,21.335527,22.207998,22.201546,21.853928,21.816128,20.773239
1.27589753,1.07311263,23.507113,22.637428,21.127274,20.463543,20.198145,24.871292,22.831203,21.307678,20.685165,20.363825,26.727501,22.642422,20.910225,20.130184,19.462036
