ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
0.5336409,0.40528164,19.760647,17.274633,15.868648,14.874416,14.311137,20.0739,17.599401,16.223492,15.248751,14.679819,19.862984,17.318306,15.936832,14.955423,14.395353
0.52885548,0.41615528,24.62532,25.110416,20.165411,24.346003,22.80895,18.983009,18.025347,17.52437,17.175205,17.698135,24.625576,25.110533,20.035292,24.346109,22.80913
0.53118727,0.41574695,22.365648,21.16123,21.093113,22.882004,22.808596,20.542603,18.739916,18.46883,18.22963,18.779339,22.234518,21.343124,21.254101,23.064402,22.808704
0.53166663,0.41579835,21.677891,20.694462,21.10771,24.346069,22.808537,20.751669,19.203606,18.628483,18.545181,19.088972,21.679245,20.736725,21.088884,24.346176,22.808714
0.53278979,0.4160396,24.623556,25.110506,21.603233,22.303335,20.981388,21.168261,20.148584,19.384703,18.784578,19.7222,21.87746,25.110376,18.704527,19.722305,18.573587
0.52970946,0.421172,20.642794,20.799171,20.977177,24.347469,20.057377,20.824711,20.414122,20.039478,19.421642,20.388964,17.254936,18.743151,17.902777,29.454506,27.162609
0.53202295,0.30734915,22.639481,21.852322,20.162334,19.473635,19.056629,22.913586,21.877817,20.136276,19.475777,19.001286,24.642128,20.28548,18.99268,18.3389,18.288605
0.53202295,0.30734915,22.657219,21.857386,20.159178,19.473856,19.059757,22.878689,21.867016,20.135885,19.476109,18.995319,26.424652,20.832716,19.237242,18.530205,18.37352
0.53117677,0.3085528,26.203941,23.492897,22.38052,21.656225,20.960228,26.005947,23.582987,22.290621,21.744194,21.618793,24.704691,22.358822,21.922525,21.375786,21.605682
0.53345735,0.30774927,25.921135,23.235104,22.488266,22.012115,21.339672,24.951799,23.254347,22.41692,21.889112,21.537081,22.616621,22.667868,22.053476,21.171549,20.430246
0.52842283,0.2146119,25.861397,24.550362,22.555725,24.663914,22.330296,25.68775,23.908108,22.694845,24.697729,21.948111,21.142775,21.32399,21.3731,27.314537,27.933287
0.52903937,0.29102126,23.64715,23.789,22.738718,22.058001,22.467972,23.641146,23.725048,23.085064,22.333918,21.915272,21.714651,22.468744,21.718653,22.658388,20.35453
0.53166372,0.26289045,22.980783,24.097176,22.484085,21.890947,22.871117,23.70182,24.839342,22.85041,22.217995,21.830458,23.266727,24.874176,22.43004,22.096357,20.359324
0.53258621,0.34271148,23.688189,23.664469,22.740387,22.514124,21.768545,24.309582,23.892023,22.872641,22.591505,22.997578,24.777664,23.516825,22.59557,24.357338,24.700455
0.5330443,0.27356593,24.883999,23.437601,22.280449,21.175619,21.232519,24.814682,23.516603,22.641697,21.534,20.986595,27.315798,23.211288,22.173782,21.659389,19.530052
0.53351518,0.3809207,22.972982,23.484173,22.436384,21.647873,21.384842,23.129639,23.4678,22.635025,21.905542,21.728518,22.986084,23.543463,22.155216,21.232525,25.12397
0.52853002,0.24086363,23.878172,23.81209,23.366686,21.840178,21.661325,23.880886,23.511978,23.267273,21.748169,21.795361,26.13896,22.331179,24.045799,21.17318,22.065414
0.52953151,0.02678504,24.263222,20.336163,18.925354,17.940178,17.423126,23.883825,20.702465,19.273752,18.289068,17.784405,22.942507,20.444443,18.972078,17.99213,17.515779
0.52953151,0.02678504,24.243961,20.335932,18.924517,17.939787,17.422388,23.908354,20.69659,19.27375,18.289429,17.784136,22.887972,20.447409,18.975327,17.995373,17.519524
0.53139785,0.06892219,20.539391,18.159615,17.160297,16.802984,16.606398,20.819693,18.4977,17.508974,17.157045,16.969164,20.370676,18.190422,17.206543,16.864157,16.65122
0.53139083,0.06891713,20.522545,18.158895,17.160278,16.802536,16.608488,20.801125,18.496023,17.509062,17.15612,16.971472,20.364283,18.192751,17.207394,16.863537,16.665852
0.53165901,0.02263161,21.002459,20.392181,20.280785,19.935766,19.91811,21.273533,20.535961,20.390831,19.971672,20.084972,20.982653,19.996704,19.804127,19.408695,20.168907
0.52793801,0.0234647,23.442652,21.436739,20.400484,19.926386,19.433418,24.022436,21.431479,20.395288,19.848557,19.480276,21.411655,20.68309,19.8342,19.085892,19.043835
0.52859443,0.10860218,24.577248,24.978306,23.323515,22.799328,22.280218,24.258196,25.123638,23.568459,22.338856,21.862146,26.805817,26.60228,22.491634,22.285172,22.17137
0.52845191,0.08605522,22.598181,22.343107,21.488609,21.264961,21.025707,22.599798,22.408258,21.518957,21.064081,21.031492,22.307701,21.619051,21.205795,20.319454,21.281942
0.52928768,0.12202167,23.523691,21.960865,20.778585,20.38669,19.939743,23.205418,22.085663,20.873316,20.394136,20.060921,22.341658,21.718309,20.484138,19.954926,19.880276
0.52969531,0.16219495,23.048206,22.718176,22.54159,22.886639,22.481363,23.058609,23.165546,22.879051,22.941256,21.625046,22.207853,23.060629,26.180071,26.29335,22.573956
0.53117161,0.01021467,23.732611,22.60634,25.535309,25.432676,21.646242,24.664782,22.995825,26.10218,26.04945,22.419991,24.928253,22.399462,26.934792,26.92658,21.874235
0.53206763,0.06124225,23.138296,22.221321,21.140692,20.922127,20.234463,22.94285,22.121803,21.027796,20.687033,20.146301,21.937332,21.462492,19.985657,19.872904,19.014458
0.53179642,0.19077208,22.716257,22.828873,21.716946,21.735689,21.895632,22.656986,22.746397,21.674383,21.600971,22.296892,20.85092,22.376284,20.82704,21.818022,19.37484
0.53220281,0.01866414,25.133408,22.881823,24.955931,24.216612,22.69841,25.189074,23.578115,25.493109,24.126289,21.76808,25.275665,23.38336,26.147108,23.978926,21.34301
0.53261249,0.09251065,24.343409,22.773722,22.575798,22.412457,22.145996,25.060089,22.92692,22.755032,22.492361,21.770668,22.42177,22.651415,22.302639,21.545656,23.000431
0.53247174,0.0849102,24.890696,22.630896,21.427914,20.035885,19.438433,24.837767,23.02319,21.875269,20.358078,19.864128,24.65192,22.649704,21.665146,20.049896,19.470346
0.5331651,0.12088426,24.485048,22.279186,21.019192,20.676374,19.949551,23.103687,22.071339,20.740904,20.309374,19.818607,22.522593,20.655619,19.719358,19.239157,19.006031
0.52976869,0.09436333,24.857182,24.183456,22.42664,21.284578,20.504179,25.071505,24.520166,22.597509,21.780088,20.633638,26.438244,28.236542,21.996897,21.505278,19.984913
0.52986825,0.1158451,23.961535,23.292959,22.380749,21.92584,21.335482,24.545843,23.482941,22.74369,22.096176,21.587584,24.61879,23.34206,22.788301,21.779736,20.955265
0.53136514,0.15972736,24.978136,23.368736,22.083162,21.626526,21.729792,25.570726,23.47616,22.451181,21.918142,22.415428,25.967838,22.984686,22.131516,21.200817,20.956318
0.53177422,0.17231097,24.048908,23.53458,22.421103,22.756742,22.082428,23.447392,23.72826,22.817924,22.506563,21.565195,24.660841,23.001154,26.036266,22.38846,20.855341
0.53244848,0.05657592,22.983797,23.130129,21.793495,21.273623,20.951626,23.625187,22.876249,21.500895,20.947466,20.479872,21.24394,21.518185,20.178194,19.726578,19.463243
0.53315039,0.19702368,23.75872,23.351669,22.582647,23.079041,22.612448,24.472389,23.450851,22.770071,22.78561,21.724764,21.654442,23.153851,22.629093,22.657452,21.350256
0.528406,0.06492299,23.615854,24.534273,23.240179,20.853222,19.868774,24.34247,24.400951,23.729458,21.445108,20.260498,24.236454,23.8332,23.600172,21.271034,20.016529
0.52865339,0.19503413,25.644213,25.411659,23.994196,22.04529,21.468473,25.635788,25.525368,24.398308,23.393103,22.641495,26.655832,27.441317,25.988047,26.344334,25.144985
0.52981851,0.08313783,23.603203,25.251179,24.058805,21.853935,20.312822,23.825123,25.539825,24.520168,22.215528,20.787016,23.178101,26.306141,23.533585,22.210653,20.989363
0.53235009,0.02020754,23.974663,24.108295,22.755756,22.008978,20.845379,23.632467,25.342825,23.422121,22.376936,21.193811,22.672249,26.193165,23.253166,22.09375,20.703169
0.53265417,1.8172E-4,24.403229,24.063297,23.883528,21.619942,21.094742,24.44132,24.079239,23.700867,22.066212,21.283173,24.160585,23.460342,23.067177,21.876905,21.263477
0.52975047,0.41946193,24.616581,23.357248,21.227877,20.29068,22.347515,20.916325,19.958179,18.729368,18.219009,19.219843,24.668699,23.476093,21.441378,20.367441,22.230902
0.52971488,0.42115533,21.007122,20.135227,19.956831,19.552826,20.143688,21.04892,20.160833,19.850842,19.085825,20.297232,19.487324,16.966866,15.906635,14.901023,28.15444
0.5294053,0.41373521,24.614634,20.684475,20.075495,24.351751,22.812477,19.396914,18.14925,18.157444,17.655449,17.971495,24.614883,20.843616,20.054264,24.351883,22.812576
0.52854226,0.41756886,22.065338,22.178894,20.103966,19.403309,22.765684,19.246916,18.511826,17.543861,17.181095,18.235224,22.360617,22.509272,20.135544,19.258776,22.737543
0.53361849,0.37670357,22.622761,23.992764,23.164297,21.833941,21.317665,22.805086,23.976681,23.569925,22.336864,22.268127,22.958353,23.955574,23.164169,22.186611,22.760777
0.53004177,0.23140053,26.156925,24.596687,24.37254,21.788696,23.097708,25.86376,24.796789,24.399433,22.659723,22.236698,26.66114,25.994989,27.044603,22.650999,20.005787
0.52907621,0.25494081,24.35565,23.466349,22.763306,21.917362,22.268652,24.227617,23.263176,22.857517,21.95956,21.36438,24.651937,23.145002,22.597376,21.446667,19.780878
0.53352685,0.32003132,23.445347,22.997026,22.436584,21.762953,22.239532,23.657549,23.201145,22.72781,21.902037,22.480724,24.318764,22.509483,25.385015,21.644854,23.160774
0.5211505,0.21217943,16.720121,15.434725,15.00271,14.881279,14.816195,17.084702,15.770942,15.359877,15.24616,15.177614,16.788658,15.48915,15.064831,14.93844,14.881903
0.5211367,0.21218521,16.719917,15.43472,15.002684,14.881276,14.816362,17.084444,15.771045,15.359807,15.246152,15.178087,16.789038,15.489071,15.064907,14.938603,14.885224
0.5211367,0.21218521,16.720055,15.434588,15.002232,14.881311,14.815708,17.084217,15.77067,15.358994,15.245143,15.177906,16.789042,15.488902,15.064857,14.938631,14.885839
0.52116378,0.21438919,24.904936,23.000769,22.416147,22.179102,22.102657,24.811506,23.056713,22.32707,22.233585,21.368397,20.800686,22.955349,21.838985,21.085043,20.263905
0.5238832,0.35206561,17.989454,15.752206,14.869745,14.56382,14.392133,18.358671,16.074598,15.20857,14.891754,14.771998,18.046686,15.787738,14.912563,14.64065,14.477778
0.52387437,0.35207162,17.987682,15.752216,14.869759,14.565344,14.392179,18.35615,16.07408,15.208577,14.89178,14.772161,18.042736,15.787988,14.912828,14.640879,14.479738
