ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
0.0415107,0.03903372,23.763195,23.313051,21.767014,20.747276,20.237986,23.374681,23.426367,22.124765,20.8424,20.672132,23.799789,22.790009,22.038628,20.300348,20.304365
0.04333561,0.03905431,25.61594,23.554031,22.284685,21.884039,20.802956,25.083868,23.913055,22.549114,22.453737,21.175268,24.068449,23.696995,22.543648,23.104881,20.249914
0.0432551,0.16722829,23.022423,23.446089,22.680323,22.577105,21.349039,22.78278,23.525112,23.286379,23.04302,21.385958,22.206146,23.071978,23.458841,22.964905,21.095949
0.2469144,0.37829883,22.455547,20.606033,19.781092,19.444828,19.267378,22.603134,20.927944,20.158371,19.841839,19.472424,22.347761,20.567602,19.866791,19.553436,18.949583
0.24851229,0.31599829,21.175381,18.291939,16.84762,15.633931,15.042135,21.326765,18.647608,17.211628,16.01932,15.412305,21.017321,18.356737,16.895782,15.720577,15.0933
0.24850779,0.31600671,21.152851,18.290844,16.847345,15.633798,15.041847,21.291866,18.645226,17.210951,16.018995,15.411839,21.072346,18.358622,16.895565,15.718958,15.094047
0.24850779,0.31600671,21.178978,18.290192,16.847342,15.63349,15.04163,21.293562,18.644148,17.211426,16.018959,15.411871,21.065182,18.358435,16.895998,15.719682,15.095437
0.2486239,0.31756073,25.727243,23.197781,21.882923,20.640232,19.700487,24.810385,23.756598,21.914968,20.803118,19.826893,23.469595,23.790741,21.972206,20.659184,19.41778
0.24592482,0.31612918,21.877922,21.406971,21.228453,21.0224,21.735996,22.2847,21.775896,21.627502,21.409403,22.678469,22.384821,21.456081,21.412542,20.929199,22.786377
0.24465209,0.28819434,24.455112,25.260271,22.327065,21.025965,20.288338,24.635035,25.165714,22.534258,21.249319,20.508801,27.678188,22.766109,21.357622,20.797022,18.61306
0.2450031,0.28120718,24.49452,24.18078,22.346989,21.902483,21.063314,24.381464,24.09462,22.51132,21.883413,21.426249,23.223814,25.206011,22.106501,21.285633,20.174036
0.24625914,0.21145259,23.876287,24.022486,22.59609,22.071939,21.690651,23.879234,23.552498,22.731552,22.411129,21.321213,23.569714,22.443377,22.736666,22.423967,22.566031
0.24725788,0.21979514,23.488876,23.673586,22.31249,21.437693,20.872128,23.821281,23.60804,22.385353,21.374733,21.029371,22.722206,22.620796,21.371925,21.058897,20.001535
0.24892027,0.293976,22.944744,24.75868,22.611988,23.043594,22.341923,23.36945,24.781004,22.973913,23.681686,22.874329,22.949207,23.865673,22.53792,23.879711,24.487659
0.24830453,0.38276459,23.498199,24.097946,23.068546,21.991207,21.768105,24.691217,23.689423,23.146959,22.269751,21.566702,25.9653,23.124924,22.51844,21.989061,21.638763
0.24944571,0.34147338,23.352266,24.258051,23.472132,21.37974,20.655077,23.753281,24.300745,23.95183,21.760431,20.971275,23.307304,24.158545,24.613129,21.4991,20.922655
0.24721045,0.41411814,23.306629,23.437885,22.716331,22.393639,21.672314,24.330797,23.385775,22.70458,22.238672,22.634384,22.274488,22.512465,22.238512,25.442118,23.789255
0.24857127,0.27924311,23.337795,24.189381,22.783634,23.137184,23.347164,23.527792,24.489407,22.781473,23.623213,22.75934,23.748478,24.194902,22.508266,23.609781,21.309429
0.24861729,0.28272201,25.366516,23.542093,22.940498,22.479895,22.444176,24.233379,23.661804,22.86006,22.539167,23.089796,22.322962,22.679064,22.854221,21.587934,23.868584
0.24873478,0.39032009,26.299467,23.928993,22.768234,23.470547,22.116495,25.53108,23.974863,22.885473,23.885492,22.696594,27.866377,27.14768,22.027761,26.668154,24.789795
0.2471436,0.36217475,24.97204,24.731581,23.574234,22.385155,21.161957,24.576702,24.956051,23.342691,21.93869,20.94982,27.728662,26.210287,22.654711,20.79587,19.851278
0.24482637,0.09642694,24.075708,26.676481,22.530781,22.904903,23.395428,23.179544,26.532957,23.12262,22.870321,22.963926,22.578726,26.471291,23.058891,22.594484,23.071684
0.24773139,0.12602634,22.522835,23.902695,22.427216,22.085966,22.102602,22.702688,23.986294,22.618877,22.547354,21.738544,23.489237,23.414564,22.439703,26.082085,22.638876
0.24837903,0.16479771,23.595518,23.837986,22.330341,23.387741,21.361858,24.038204,23.703285,22.632603,23.583532,21.897274,24.141346,23.955818,22.829378,25.653866,21.47628
0.24888851,0.14935496,23.527542,23.46422,22.358984,22.042364,21.046474,23.270422,23.449699,22.548481,22.335577,20.947527,22.54427,22.90176,22.552418,22.16621,19.805382
0.24926668,8.66901E-3,25.024399,23.400608,21.91918,20.785593,20.584536,24.299685,23.840658,22.235966,21.150038,21.105188,24.610008,23.54553,22.045652,20.905821,21.268847
0.03849924,0.43635658,19.597935,18.528225,18.060266,17.960947,17.928396,19.872898,18.852831,18.455614,18.335421,18.246571,19.605337,18.574596,18.16209,18.050995,17.972761
0.04151066,0.03903388,23.59234,23.360815,21.807369,20.752047,20.225655,23.376585,23.402084,22.138655,20.887892,20.704557,23.223892,22.816507,22.025764,20.320532,20.228546
0.03981701,0.04808266,23.154066,23.725693,22.54645,22.824379,21.575953,23.40959,23.618626,22.689018,23.005674,21.331537,24.068287,24.077145,22.518019,22.530748,20.209158
0.03814363,0.05807301,24.83909,25.559181,22.018454,24.038801,23.340088,24.63652,25.73875,23.220436,24.067163,22.871807,24.586855,25.231647,22.832865,23.807486,22.929674
0.03761997,0.0782976,23.005079,23.65036,22.505369,22.445894,21.344254,22.678843,24.174509,23.100227,22.595665,21.536306,22.189856,24.153097,22.914082,22.194668,21.352762
0.03735971,0.01833457,25.179945,23.597595,22.591797,21.851337,22.591736,24.867245,23.813515,22.937605,22.051334,22.66515,23.013477,23.065578,23.240067,21.506449,21.531778
0.04332124,0.03365417,23.075447,23.033241,23.981237,24.320602,22.800613,23.268509,23.788044,23.859707,24.027601,22.859898,23.272795,23.742792,23.628405,24.165943,23.493979
0.04138426,0.08420862,22.170563,22.258097,22.423895,21.98901,21.532839,22.060432,22.491213,22.642302,21.804169,21.564304,21.805695,21.74118,22.124374,21.051155,19.424025
0.04087451,0.20088262,25.178902,22.99988,23.679037,23.530508,22.975391,25.687887,23.566456,23.460428,23.943081,22.872089,25.533188,23.707924,22.880489,24.475142,23.226538
0.04059065,0.08218371,25.274065,22.578056,21.546164,21.336674,20.823017,25.831146,22.627274,21.650537,21.501389,20.592073,24.062151,22.00979,21.239992,20.841366,19.74962
0.03943321,0.08458561,24.197855,22.948112,24.490999,23.566662,21.983164,23.546545,23.215704,23.868919,23.724873,23.348852,24.953344,24.051241,23.595959,23.713232,24.196459
0.03956063,0.12640272,23.175562,22.243605,21.404991,21.026333,21.10416,23.90313,22.417995,21.609867,21.17642,21.021023,24.372768,21.858395,21.141232,20.738451,21.448336
0.0385859,0.02748196,24.658073,23.038055,25.094677,24.264402,23.217918,24.54126,23.718117,24.659796,24.889669,22.084145,23.1271,23.817421,24.729265,24.509138,21.890469
0.03848452,0.20827796,23.125072,22.631453,22.315805,21.527536,20.957108,22.936104,23.046921,22.459084,21.928028,21.385952,22.070696,22.28516,21.773315,20.950726,20.856482
0.03760404,0.20692749,23.045698,22.642614,22.233585,21.716158,22.132156,23.197779,22.845615,22.568619,21.969559,21.815561,26.504072,22.060465,22.449261,21.330797,21.890995
0.03902481,1.54502E-3,19.328367,16.697847,15.207289,14.397658,13.937961,19.588812,17.042458,15.592232,14.766901,14.289552,19.247437,16.760447,15.2987,14.466254,14.000448
0.03903368,1.54546E-3,19.325838,16.69792,15.207267,14.397573,13.93798,19.586327,17.042534,15.592166,14.766848,14.289509,19.225702,16.759575,15.298,14.465634,14.000339
0.24392689,0.29388402,25.418568,24.554157,22.545935,25.371231,23.49114,25.449301,24.593756,22.995081,25.468004,23.952339,25.383541,23.525764,23.543516,26.097927,25.222481
0.04240898,0.40287423,25.158861,23.674763,22.757612,21.556242,21.146278,24.319202,23.610647,22.759691,21.793558,21.402199,24.243435,22.529528,22.207232,21.525942,21.503599
0.04228955,0.39250699,25.172882,23.872383,23.40118,22.059961,21.351236,25.739124,24.209541,23.535248,22.152676,21.743521,25.40111,24.519033,22.930824,21.578514,21.034931
0.0422929,0.2666249,24.315042,23.932106,23.095005,21.758268,21.393229,24.999756,23.766325,23.370092,21.91799,20.763977,19.561451,20.906746,28.055769,20.312748,18.6096
0.04170839,0.25615934,23.083179,23.161224,23.01438,21.833666,21.690075,22.983419,23.488691,23.002878,22.073471,21.867516,21.078814,21.87145,21.96126,21.242487,20.717728
0.04333962,0.22761286,23.248316,23.160822,22.588692,21.775124,21.739855,23.262112,23.285774,22.73332,22.167109,22.031794,22.799669,22.661648,22.518476,21.460957,22.817579
0.04195832,0.30273723,24.151051,23.890072,22.420513,22.053843,20.968378,24.476971,24.205923,22.651999,22.737402,21.433075,24.636232,25.090668,22.358673,21.78326,21.19504
0.04117094,0.3371889,22.339977,23.132105,22.183416,21.630459,21.659966,23.047194,23.260441,22.205,21.860846,21.391157,24.372757,22.60132,21.980106,21.200283,21.01935
0.04092977,0.21390374,25.464342,23.825008,22.415255,22.57135,21.585577,24.720816,23.767956,22.681002,22.829172,21.435764,24.12652,26.458426,26.725164,27.169031,22.863016
0.03839909,0.2082578,22.510757,23.270288,22.288952,21.54455,20.687157,23.348825,23.393782,22.55146,21.811523,20.818836,24.437553,23.673038,22.551945,21.346998,20.601019
