ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.50833406,1.11447898,22.539337,20.699657,19.386017,18.854788,18.578243,22.414211,20.701067,19.449785,18.930597,18.645084,21.85487,19.846334,18.69784,18.18755,17.813614
1.50946928,1.14458649,21.597834,20.726103,20.444715,20.321583,20.135965,21.857407,21.018513,20.77017,20.64039,20.526691,22.007086,20.733263,20.357939,20.259321,19.995651
1.50946891,1.14459236,21.751656,20.744118,20.536905,20.343653,20.140455,21.904486,21.023893,20.771765,20.633301,20.470785,21.890644,20.796152,20.591793,20.398081,20.278168
1.51035807,1.14427563,25.738569,24.697685,22.277857,21.381968,20.635361,25.000246,23.779289,22.316097,21.385887,20.723776,26.791014,23.483675,21.222197,21.45771,22.827372
1.51082174,1.09165285,19.836494,18.434444,17.914265,17.680971,17.650978,20.16984,18.758064,18.237637,18.028883,17.983786,19.840418,18.447294,17.942402,17.740297,17.620979
1.51080986,1.09165429,19.827709,18.435091,17.9137,17.683811,17.656387,20.1597,18.757236,18.236305,18.035782,17.995329,19.881157,18.45295,17.943037,17.757607,17.671692
1.51124906,1.1943996,22.340179,20.321831,19.009449,18.473469,18.193386,22.290636,20.410053,19.147593,18.62002,18.320621,21.482449,19.606693,18.395878,17.9058,17.586178
1.51187448,1.2005894,22.2005,19.723122,18.451803,17.878555,17.664072,22.344336,20.044418,18.773207,18.246943,17.996231,21.937796,19.737602,18.477604,17.973272,17.717327
1.51187448,1.20058939,22.190544,19.722605,18.448347,17.878098,17.664104,22.373274,20.044476,18.771065,18.246101,17.994347,21.942495,19.73563,18.48024,17.975449,17.720613
1.51065008,1.2020319,22.490562,22.04413,21.053205,20.953259,21.006012,23.150299,22.068424,21.231382,21.040936,21.29446,25.914425,21.492666,20.65324,20.374746,20.893908
1.50924732,1.23665958,23.317354,21.533808,20.096159,19.238811,18.783678,23.666681,21.890036,20.427187,19.590237,19.125149,23.211424,21.603573,20.148781,19.304918,18.779388
1.50924731,1.23665957,22.925488,21.532568,20.092558,19.237661,18.783041,23.779415,21.879379,20.424671,19.584282,19.119261,23.283401,21.60154,20.131836,19.308973,18.789476
1.50948643,1.23493073,25.273161,23.999454,22.334261,22.633144,22.167328,25.036322,23.543587,22.627653,22.728781,21.871252,26.531307,22.727596,21.583498,25.232227,23.005632
1.5125821,1.0719425,22.204844,25.05418,24.386557,24.86199,22.549381,23.169638,25.215181,25.446196,24.573372,23.109072,23.576437,25.230057,25.854685,24.444271,23.028734
1.50742424,1.24122154,24.883007,24.227987,21.625029,20.847282,20.57132,25.159567,25.077528,21.943029,21.097795,20.816687,26.160183,26.711214,21.64992,20.967644,20.248526
1.50742427,1.24122158,24.885561,24.235367,21.633936,20.845291,20.572027,25.431492,24.990547,21.941196,21.107136,20.875351,26.159487,26.723097,21.665892,20.971962,20.240732
1.50978692,1.09867589,22.44939,22.232325,21.062262,20.654285,20.131067,22.407913,21.977676,20.900455,20.488731,20.03219,20.965616,20.996632,19.785227,19.902714,19.382545
1.51001286,1.23271402,23.784847,22.596577,21.634016,21.541548,21.045313,23.068775,22.626133,21.733728,21.4792,21.165932,21.352396,22.261703,21.191843,20.827972,21.616098
1.51024207,1.13880591,22.684284,23.250574,21.730318,21.704536,21.444475,23.399717,23.234539,21.768164,21.756678,21.566628,24.672827,22.955175,21.592686,22.010857,22.871601
1.51048631,1.15239873,24.445036,23.25255,23.034714,22.774164,21.553535,24.361244,23.755554,23.226547,23.451365,21.855309,24.160101,23.702566,23.027609,23.761784,21.909643
1.51130632,1.19849674,24.027544,23.327248,22.02915,22.033918,21.332964,23.080946,23.256134,22.073124,22.042408,21.868876,22.394148,21.88957,20.672911,20.518171,21.204948
1.51088656,1.10237925,22.682999,22.853443,22.40344,21.828392,21.545794,22.604879,23.09226,22.832048,22.135681,21.446182,21.633825,22.281441,21.866106,22.607533,24.946667
1.51113703,1.12330461,24.220728,22.327248,20.973492,19.958908,19.572199,24.484894,22.676655,21.313036,20.314365,20.012129,23.0933,22.379353,20.995661,20.006355,19.853872
1.51142639,1.18442258,24.816111,23.07642,22.261398,22.050417,21.339735,24.187279,23.005646,22.211243,22.055122,21.730547,22.199074,21.645758,21.153687,21.37405,21.820196
1.51222243,1.06763318,22.858074,23.117611,22.563131,21.750088,21.808126,22.908298,23.312155,23.014761,21.760035,21.864113,22.735348,22.935682,22.783686,21.316448,21.554312
1.51242522,1.1705824,23.463144,23.223026,22.738274,21.947403,21.04512,23.595085,23.251644,22.828901,22.088961,21.277681,22.729439,22.701572,22.11462,21.748308,20.758789
1.51268826,1.22248781,23.423555,22.571646,21.846474,21.314955,21.135612,23.710823,22.8335,22.0278,21.647503,21.287214,24.566811,22.693945,21.798748,22.220869,21.034216
1.50953315,1.13463342,23.458347,23.265158,22.257961,21.349178,20.777342,23.577274,23.079475,22.462944,21.662638,20.887445,21.850107,22.1945,21.733582,22.627819,20.116776
1.51018058,1.15522821,25.009165,24.111509,22.641703,21.987907,21.260061,24.731668,24.357637,22.810764,22.236141,21.280434,24.187105,24.208744,22.319025,22.170809,20.820944
1.51096307,1.24015029,23.185518,24.384985,22.609119,21.78861,21.227993,23.4543,24.537521,22.874634,22.029959,21.664928,24.580769,25.209997,22.922417,21.5886,21.537727
1.51180778,1.21408436,23.186417,23.390177,21.975962,20.631512,19.904099,23.711613,23.574892,22.062954,20.943275,20.174934,29.157255,23.775831,21.724895,20.295149,20.640999
