ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1.51394737,0.8212674,13.791813,11.572494,11.034512,10.894125,11.170226,14.437139,11.678253,11.116026,11.010036,11.433401,13.782149,11.568284,11.027878,10.881022,11.147014
1.51394178,0.82126596,13.794694,11.572879,11.034591,10.894781,11.171328,14.437287,11.678254,11.116039,11.010065,11.433454,13.78563,11.568835,11.02805,10.881935,11.148882
1.5139423,0.82126593,13.794827,11.573241,11.036374,10.898936,20.372465,14.443155,15.029941,15.533741,14.37918,13.186401,13.788067,11.570524,11.033194,10.894676,12.24297
1.50938972,0.82124911,23.680534,25.101841,24.785383,24.354317,20.951696,24.193993,22.193428,21.437483,20.716923,21.54583,20.806925,21.90777,21.811668,23.008335,19.356092
1.51350143,0.82480932,24.488113,21.656078,24.785101,24.35289,21.787611,21.914312,20.766594,20.506311,19.679045,20.499268,22.927738,21.676573,24.78521,24.352987,21.117405
1.51342552,0.8251647,22.933798,23.819662,22.583881,24.353212,21.14954,22.334496,20.88595,20.526564,19.890924,20.735441,22.406935,23.759636,22.845312,24.353251,20.876827
1.51031151,0.81678,24.134445,23.203329,22.033113,21.678637,20.701591,24.292622,23.086433,22.25601,20.921436,21.214775,25.93644,22.449881,21.689678,20.986927,21.059929
1.51189936,0.81795375,24.105968,25.004192,22.836987,24.117054,22.79768,23.638521,22.38357,21.783573,20.603031,22.059769,23.949804,24.913467,23.21549,24.17667,22.800865
1.51261519,0.83159222,23.753922,23.061678,23.279799,23.279169,23.071564,24.538662,22.925341,23.750647,22.508968,22.593975,24.895466,22.646322,23.918037,22.227074,22.894432
1.50922759,0.82756,24.245483,24.433512,24.172432,22.246239,23.038565,24.110077,24.346951,24.521986,22.101416,23.690863,24.828604,23.318254,23.043533,21.257957,23.702118
1.50917762,0.79563384,19.631548,18.661795,18.330738,18.211052,18.227907,19.95874,18.975933,18.680357,18.551088,18.540396,19.62554,18.689945,18.401743,18.264103,18.218891
1.51056359,0.73389967,19.146845,17.322193,16.619045,16.350132,16.224207,19.462795,17.651213,16.954908,16.696505,16.56542,19.13579,17.360064,16.658808,16.401628,16.247112
1.51055166,0.73390996,19.145382,17.322361,16.619011,16.349724,16.224613,19.462343,17.651638,16.95509,16.695021,16.566195,19.179932,17.36319,16.659412,16.400845,16.25522
1.51053249,0.7794627,20.931919,19.926794,19.461693,19.300772,19.326519,21.219576,20.263527,19.823606,19.662895,19.675465,20.961365,19.990356,19.549498,19.369183,19.372208
1.51053249,0.7794627,20.932032,19.926783,19.461853,19.30154,19.326355,21.231037,20.262928,19.818913,19.666056,19.6667,20.958279,19.985239,19.548784,19.373289,19.35071
1.51071892,0.7782641,25.281673,24.785017,23.679739,21.679667,21.131491,24.51688,24.84017,23.790659,21.986126,22.250078,24.999714,24.998772,24.118748,21.862198,23.042746
1.51370676,0.78200562,20.292271,18.729202,18.040842,17.7728,17.630533,20.593412,19.05409,18.380495,18.124807,17.994318,20.276062,18.771004,18.088491,17.842678,17.707144
1.50746635,0.74953437,22.073641,21.777071,21.313896,20.992599,20.93169,22.405195,22.118006,21.695177,21.280611,21.310339,22.42277,21.857136,21.453003,20.890697,21.341846
1.51677839,0.82200218,20.155462,17.625662,16.14397,15.011117,15.069997,20.275066,17.879547,16.47348,15.331092,14.757535,19.933468,17.662521,16.223875,15.073728,14.96241
1.51807748,0.8116625,22.37829,21.321283,20.234964,19.890299,19.56992,22.345127,21.182449,20.184036,19.697926,19.302992,21.18643,20.306681,19.319181,18.838049,18.337914
1.52178131,0.82726895,23.225828,24.008017,22.11964,20.872753,20.32613,23.366949,23.82777,22.232214,21.171438,20.611492,23.996828,23.17185,21.19619,20.292616,19.873535
1.52260565,0.82785398,23.420406,22.787685,22.873091,22.192108,22.01153,23.402412,22.864948,22.847496,22.189695,22.73789,25.483398,22.527628,22.058249,21.465658,21.176434
1.52107343,0.82435655,23.313734,24.570658,22.551353,24.002487,23.076422,23.880077,24.086124,22.630896,21.870869,23.335892,24.314899,23.317562,22.105227,21.990282,23.998064
1.51766624,0.82537524,25.017998,23.083529,25.09556,24.353148,22.738474,24.46542,22.864592,23.329823,21.13493,22.693981,24.563377,22.221687,23.691595,24.281878,23.528236
1.51552413,0.82819356,25.951466,24.363262,23.330582,22.133244,23.823763,24.644323,23.880386,23.210253,21.839727,23.656471,25.349401,24.475672,22.562504,21.140121,24.059349
1.52051787,0.81866754,24.634386,24.67108,24.226053,22.232714,22.848953,24.461554,24.410255,23.701149,21.883652,22.953424,25.703472,24.139282,23.518776,21.113611,22.828337
1.5163405,0.82907618,23.759764,24.533962,22.978342,23.123169,23.071037,24.035004,23.46393,22.790064,22.535862,23.264231,23.164383,22.210377,22.035723,21.164364,24.268435
1.51824551,0.79522858,21.3113,20.444677,20.04998,19.964659,19.926622,21.606039,20.728378,20.390837,20.354006,20.272169,21.360167,20.401505,20.124109,20.113686,19.817778
1.51842328,0.64751783,22.523766,21.015839,20.083042,19.700056,19.620752,23.241539,21.283871,20.447872,20.068207,19.991173,22.906023,20.97773,20.183378,19.774775,19.704615
1.51883899,0.76168872,22.243944,21.648764,21.022659,20.672386,20.255035,22.41107,21.7878,21.208014,20.834486,20.394428,21.483873,21.216883,20.574123,20.149273,19.914396
1.52336392,0.78397339,22.27371,21.626535,21.5653,21.143618,20.615973,22.420597,21.962347,21.934916,21.467859,21.140984,21.921879,21.70314,21.689089,21.087187,21.099701
1.52220813,0.80295215,24.174681,22.465071,21.745836,21.84211,21.563496,23.637102,22.279375,21.755552,21.645416,21.36441,21.983587,21.258661,21.056444,22.136271,22.420118
1.52222453,0.71414197,22.705994,22.806528,22.044411,21.718874,20.980459,22.541897,23.086966,22.249107,21.650068,21.182722,21.831982,22.631836,22.138103,21.06258,20.444557
1.52117486,0.56801718,18.736626,16.943272,16.257986,15.984391,15.841313,19.069082,17.277624,16.603575,16.34877,16.223534,18.749733,17.000271,16.301659,16.052082,15.933445
1.52116606,0.56800626,18.73765,16.943237,16.258097,15.984402,15.841846,19.06901,17.277245,16.603418,16.348776,16.224411,18.772388,17.002085,16.303015,16.053484,15.939016
1.52116606,0.56800626,18.73774,16.942303,16.257616,15.984208,15.841319,19.06868,17.276791,16.603043,16.348768,16.224079,18.768133,17.002895,16.302954,16.053965,15.939229
1.52120539,0.56997988,23.708311,23.100033,22.343357,22.114296,21.396948,23.400631,23.021418,22.351944,22.579912,21.356976,23.050566,22.018847,22.030807,22.535433,20.748856
1.51533247,0.55441334,23.186541,21.774734,20.55324,20.024305,19.506441,23.162985,21.957813,20.557987,20.006136,19.656649,22.576679,21.487087,19.92079,19.394205,18.874916
1.52186251,0.58377072,22.006891,25.11195,25.52984,23.927319,23.0833,22.98159,25.346655,24.958168,25.038416,23.331226,25.74605,26.858313,23.998146,26.842817,23.042234
1.51619452,0.55916658,23.508457,22.45561,21.08633,20.443632,19.928385,24.057426,22.516592,21.016617,20.348616,19.944019,19.815699,21.033861,19.371021,19.168045,17.842724
1.51619451,0.55916663,23.509026,22.458038,21.08362,20.443382,19.92857,24.043961,22.531729,21.018227,20.350533,19.947636,22.604399,21.799746,19.983315,19.474932,18.916752
1.51682332,0.5577663,23.993496,23.624945,21.961721,21.680319,20.742191,23.726728,23.34981,21.734837,21.287737,20.576561,23.034872,22.398214,20.782866,20.333275,19.529749
1.51674144,0.58611607,23.852364,22.227757,21.518702,21.32374,21.098803,24.036713,22.532082,21.809631,21.662064,21.265827,23.100462,22.128469,21.609846,21.223789,20.582567
1.51717451,0.55534841,23.094219,22.87056,25.025234,23.428986,21.486752,23.574364,23.182913,23.988646,23.388195,21.667988,22.738907,23.38065,23.176262,22.682886,21.080339
1.5204457,0.60224292,22.710552,21.458227,21.133619,21.011862,20.972515,23.023233,21.832121,21.469849,21.306381,21.12969,22.599491,21.580618,21.101997,21.070299,20.733709
1.5216479,0.50923493,23.773849,22.914858,21.960415,22.248043,21.735889,23.261677,22.99839,22.039091,22.092484,21.646292,22.448698,21.637331,21.728218,21.226563,21.717083
1.5225373,0.5773509,22.400507,22.4062,22.025484,21.69795,21.831238,22.746502,22.648266,22.212774,21.813612,21.223242,22.53322,22.313602,22.160219,21.166916,20.123611
1.52334041,0.53954103,24.258709,22.091108,21.465117,21.208504,20.923101,24.608694,22.421652,21.825409,21.606188,21.442038,24.061262,22.146471,21.545036,21.509083,20.803207
1.51598451,0.51661218,23.863071,23.233763,21.869877,21.275684,21.314947,23.433872,23.469479,22.34861,21.752918,21.596205,23.405489,23.303312,22.188095,21.522118,21.346518
1.51751501,0.57178112,23.035191,23.077768,21.962088,21.693636,21.783413,24.399399,23.153938,22.346315,22.048056,22.211561,24.832352,22.750978,22.177364,21.731377,22.782129
1.51842333,0.54277671,24.734907,25.146322,22.641085,22.790268,23.199902,24.59989,25.068474,23.021402,22.834898,23.014952,23.295244,24.984581,22.806431,23.013926,23.628349
1.51891184,0.52019475,24.066162,23.179501,22.471895,22.570055,21.240091,24.335867,23.130653,22.59729,22.498953,21.574965,24.268291,22.259712,22.08843,22.120487,22.484966
1.52079971,0.54709258,23.298138,22.997272,21.901793,21.494144,20.489752,23.505938,23.216204,22.042488,21.594522,20.97711,24.627434,22.525877,21.102076,21.4519,19.794735
1.52146837,0.61345769,24.567524,23.542028,22.675552,23.698877,23.000727,25.805887,23.807192,22.971872,24.056818,22.883947,26.219093,22.937431,22.818569,24.915211,23.158968
1.52216158,0.53616027,23.67194,24.894825,22.887344,21.770079,21.327477,23.261265,25.417379,23.285027,21.958382,21.597975,21.057196,23.588509,21.888954,21.048084,22.480103
1.52238628,0.54874907,24.100304,23.33946,22.860285,21.935541,21.404591,24.245949,23.856333,22.841021,22.039717,21.516766,22.846039,24.410025,22.24103,22.42779,20.231316
1.52321779,0.60049225,23.586555,26.013391,23.00955,22.079575,21.272287,23.614048,25.576164,23.400776,22.226158,21.77194,23.495764,26.528997,22.491823,21.543497,20.532761
1.52218483,0.51786086,23.661184,23.749178,23.594528,22.128586,21.007881,24.158855,24.552238,23.272007,22.2684,21.152346,23.798716,24.148645,22.648237,22.210487,20.391409
1.78156331,0.61830493,20.834179,19.758303,19.30727,18.971701,18.591618,20.659771,19.449224,18.884855,18.516474,18.335037,18.859674,17.874514,17.403549,17.115835,16.87137
1.78140515,0.55154081,22.302391,21.630919,20.279806,19.840792,19.578766,22.390688,21.893463,20.492044,20.072317,19.735039,22.046776,21.401583,20.003424,19.71825,19.516287
1.7824154,0.53789762,24.638784,21.388763,20.185097,19.653671,19.287043,23.745283,21.539949,20.175613,19.679401,19.336466,20.901382,20.69138,19.267471,18.942183,18.382946
1.7824154,0.53789762,24.246384,21.390984,20.162952,19.655094,19.284027,23.507629,21.542938,20.168695,19.674425,19.319023,21.04553,20.686375,19.285461,18.976744,18.330515
1.78231267,0.56806137,21.928047,25.843815,25.814711,24.055653,22.641172,22.385777,25.235886,25.823709,23.588669,22.579931,22.436941,23.740591,26.291069,23.312708,22.817951
1.51730222,0.91606088,17.527813,16.541185,16.151642,15.956132,15.920157,17.887728,16.884394,16.492195,16.315666,16.266975,17.590332,16.587727,16.187998,16.02529,15.958235
1.51730548,0.91605161,17.528677,16.541353,16.151564,15.956302,15.921197,17.888065,16.884504,16.491966,16.316019,16.268673,17.606129,16.588871,16.189173,16.02832,15.972148
1.78209802,0.79508786,24.213522,24.29598,22.924086,21.953941,22.431843,23.269102,22.992725,21.900595,21.491554,21.144125,23.04175,23.861862,22.440397,21.660648,21.418644
1.78250592,0.79537564,23.469362,22.21154,21.740082,21.533283,21.654182,23.257072,22.217644,21.646173,21.419409,21.182098,22.560017,21.598879,21.084394,20.734728,20.059555
1.78249932,0.79537214,23.292593,22.175642,21.69372,21.493458,21.553976,23.189869,22.209194,21.666908,21.422344,21.166178,21.717276,21.276081,20.727407,20.278982,19.417397
1.7820595,0.65636625,23.095871,22.881107,21.867722,21.482676,21.334187,23.236334,22.786726,21.761494,21.076994,20.975254,21.236835,21.751534,20.701136,20.1789,20.892727
1.7820595,0.65636625,23.122591,23.12249,21.867722,21.482849,21.406879,23.174231,22.747259,21.763121,21.066023,20.993738,21.236685,21.751534,20.701136,20.1789,20.892706
1.78164166,0.73558817,24.029345,22.978022,22.396093,23.229225,21.117567,22.974712,22.537178,21.889868,21.678232,20.881556,23.377613,22.507603,22.07221,22.074741,21.047527
1.60692237,0.74164819,24.281847,21.560535,20.095787,18.561811,17.670424,23.550938,21.851011,20.419249,18.899376,18.044603,22.794233,21.460655,20.100868,18.608524,17.723291
1.60171325,0.78582415,22.349564,25.674538,25.573334,24.590364,22.779928,22.968777,26.262243,25.212946,24.745993,23.005219,23.038092,26.349726,25.7215,24.308466,22.788361
1.60163581,0.5924466,21.752171,18.922552,17.43866,16.523058,16.068274,22.083904,19.275015,17.79829,16.892603,16.427395,13.876491,12.531168,12.536027,11.996034,33.468472
1.60163152,0.59243151,21.697672,18.920464,17.439129,16.522932,16.063211,22.028599,19.270817,17.799545,16.892509,16.417654,21.580698,19.010395,17.496649,16.59799,16.118761
1.60375258,0.55845285,21.810251,20.175385,19.318357,18.890299,18.389854,21.495714,20.107765,19.149347,18.659819,18.325914,19.868711,18.919949,17.92989,17.53359,17.207438
1.60375267,0.55845232,21.979012,20.202089,19.325846,18.895237,18.419153,21.513519,20.111563,19.150675,18.660727,18.325401,20.198145,18.981327,17.940651,17.543863,17.252924
1.60353941,0.55889219,22.616682,22.41921,24.574404,24.08423,21.248728,21.683153,20.610464,19.717014,19.228081,18.947054,23.133577,22.533051,24.69635,24.182671,21.334265
1.60535949,0.51156543,19.813477,18.844429,18.564091,18.457388,18.46623,20.102737,19.165268,18.922995,18.82263,18.798174,19.805557,18.875927,18.623219,18.512806,18.499958
1.60638567,0.53268519,21.865746,20.049686,18.942495,18.468357,18.100668,22.044199,20.148218,18.963869,18.461329,18.180384,20.325609,19.199419,18.006897,17.539888,17.273157
1.60017116,0.54141235,23.285501,20.96467,19.446846,18.809536,18.232462,22.935728,21.027014,19.438686,18.756336,18.340366,24.539598,19.883583,18.277876,17.662859,17.517525
1.60409875,0.50988046,24.542782,21.967234,20.407118,19.737705,19.330801,24.000216,22.287344,20.762899,20.083984,19.73287,24.511511,22.008257,20.442856,19.744011,19.474651
1.60335927,0.61236692,22.369989,21.819828,20.442865,19.935276,19.362839,22.666466,21.914656,20.442629,19.922483,19.469236,23.043919,21.47846,19.87681,19.355061,18.888462
1.60438147,0.51456514,25.937115,22.713305,21.016479,19.910204,19.374386,26.044504,23.046309,21.415239,20.295975,19.823668,24.717316,22.741724,21.231363,20.008663,19.639977
1.60434572,0.52538368,23.160112,22.707972,21.407099,20.827103,20.520203,23.175392,22.903818,21.571466,20.926685,20.537407,21.477833,22.94787,21.167122,20.347052,20.137812
1.60513011,0.59559406,23.731171,22.669279,22.414808,22.231445,23.078173,23.470903,22.711315,22.302618,22.050005,22.094267,22.190315,22.003103,21.802803,22.572495,20.249643
1.60516863,0.56854963,22.441523,22.227791,21.797508,21.61367,21.524799,22.61351,22.49262,21.856874,21.684746,22.092781,21.86644,22.203119,21.438646,21.485542,22.508961
1.6072715,0.61629836,24.325371,22.84194,22.048014,21.56138,20.874725,24.563171,23.075859,21.973114,21.591503,21.007809,25.099041,22.719891,21.14852,20.780107,21.585651
1.60739822,0.57552418,23.500187,22.898348,21.906397,21.260183,20.678551,24.421715,23.196747,22.317629,21.423948,21.030262,24.748316,22.997297,22.161413,21.065525,20.883789
1.60701948,0.53981293,25.118221,23.181526,22.186367,21.846342,22.166693,24.112385,23.392567,22.379616,22.189848,22.049952,23.329433,22.895309,22.253353,22.036161,21.196918
1.60003621,0.51501922,24.987661,23.377367,21.877106,21.282297,21.105677,23.990625,23.61091,22.151651,21.679615,20.921738,24.93652,23.280096,22.034338,21.508219,20.155968
1.60020745,0.5384909,24.047752,24.611122,22.678213,24.595524,22.605181,24.540136,24.786545,23.117788,23.737961,21.927298,22.078413,23.216614,21.907595,21.430681,21.987108
1.60059395,0.54489052,25.452377,23.450684,22.084248,21.336426,20.401169,24.413954,23.679625,22.302212,21.465803,20.619034,22.776793,23.635399,21.974977,20.894564,19.800346
1.60086292,0.55553697,24.164982,23.111906,22.405981,21.87501,22.611185,24.442764,23.342188,22.623007,22.958414,22.812786,24.188728,23.031788,22.578583,26.268681,23.626032
1.60092514,0.59610419,25.604588,23.675173,22.458088,21.974726,22.417688,25.423351,23.938673,22.729305,22.20999,22.355526,23.684715,24.471659,22.85182,21.986919,24.94458
1.6010543,0.56042853,24.586557,23.232958,22.256622,22.223106,22.073677,24.499029,23.250778,22.356287,22.236099,21.804272,21.160372,26.321842,20.969685,27.107225,23.744396
1.60165266,0.56585009,24.496407,23.494865,21.995646,20.678566,20.191826,23.890507,23.909437,22.224785,21.030722,20.514187,23.286119,22.915251,22.125164,20.726259,19.997435
1.60165266,0.56585009,24.480833,23.494898,21.999472,20.682743,20.194603,23.996986,23.903675,22.242931,21.039959,20.492386,23.270363,22.932819,22.144167,20.719606,20.002211
1.60200034,0.56454783,23.892687,24.94474,22.923569,21.935789,21.032524,24.615343,25.580177,23.274536,22.384197,21.339182,23.942919,27.490423,22.996454,22.713593,20.502048
1.60364662,0.53687573,23.646553,23.541246,22.398434,21.779802,21.615801,23.349533,23.322937,22.378254,22.177139,21.38069,22.886578,23.480795,21.723204,21.828323,20.987663
1.6061169,0.61507822,25.511202,23.289537,22.424221,22.328602,21.94276,24.691761,23.457321,22.496754,22.20686,21.268831,22.173954,25.104872,21.517467,21.485708,20.290476
1.60659502,0.62797293,23.477739,23.908066,22.602451,22.95299,21.234499,23.633423,24.472858,22.885927,23.422461,21.396778,21.543825,26.632391,22.326178,23.632936,20.687157
1.60034996,0.5077428,22.935165,23.253782,23.135035,21.942879,22.150249,23.052736,23.276945,22.797531,22.100243,22.254852,23.270933,22.451214,21.769693,21.134195,21.169561
1.60241373,0.51101991,25.451656,25.044865,23.193317,21.607397,20.870747,25.163042,24.776152,23.13484,22.034178,21.076965,24.640472,25.066151,22.500216,21.906679,20.942162
1.60241151,0.52818033,23.393797,24.965679,23.04952,21.782232,22.312263,23.788061,25.319546,22.904892,22.009071,21.901379,23.47052,26.30336,22.387989,21.752138,22.804369
1.6077031,0.65536157,24.868662,24.302906,22.486454,21.483469,20.521994,24.423267,24.214094,22.619757,21.681219,20.869816,21.784687,21.808626,21.419441,20.743305,18.987774
1.60654548,0.75265314,25.449722,24.837999,22.178978,23.472778,22.855869,24.901613,24.872705,22.723719,23.519722,22.573545,24.981979,25.11549,22.601948,22.830252,22.74922
1.6058995,0.64898334,24.435247,23.382015,22.585289,21.801729,21.02136,23.857939,23.344561,22.850199,21.876099,20.942741,22.545561,23.106615,22.656555,21.680285,20.788023
1.60582924,0.71910405,24.164188,24.858288,24.470167,23.366013,20.659002,23.682653,25.019058,24.168524,23.143549,21.225803,21.75396,26.253792,22.474743,21.914267,21.074255
1.60391913,0.69634251,24.054502,23.573545,22.602875,22.566938,22.068396,23.806879,23.578081,22.757631,22.902647,22.363743,22.762484,23.200218,22.93857,22.331598,22.852516
1.60068611,0.631055,24.852587,24.640032,22.713869,22.763382,21.880972,25.043486,24.519848,23.215639,23.446468,22.548409,26.021412,24.462719,23.435404,23.251425,22.718616
