ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
0.51542353,1.20698103,18.564217,16.463648,15.64441,15.331734,15.177714,18.927713,16.813288,15.96762,15.679824,15.523169,18.533768,16.504896,15.66955,15.386989,15.226944
0.51540565,1.20698953,18.564026,16.463717,15.644444,15.331734,15.177326,18.931543,16.813503,15.967715,15.680406,15.521787,18.562996,16.506388,15.670488,15.387507,15.226638
0.51540565,1.20698953,18.578459,16.463465,15.643991,15.33254,15.173893,18.932131,16.812366,15.967373,15.679824,15.519795,18.589373,16.507559,15.672223,15.396133,15.23115
0.51690571,1.2074715,22.924244,20.57268,19.25104,18.088497,17.473713,22.816793,20.914129,19.502373,18.393738,17.800571,22.222298,20.654621,19.314339,18.182291,17.564583
0.51891017,1.13116622,16.878672,14.990746,14.332421,14.046715,13.937883,17.230608,15.343218,14.655537,14.409348,14.292419,16.88883,15.046669,14.362203,14.126323,13.999031
0.51889865,1.13117588,16.878967,14.990728,14.332421,14.046702,13.937773,17.230814,15.342953,14.655636,14.409467,14.29215,16.892084,15.046888,14.362215,14.126279,13.999061
0.51512801,1.22148922,19.600367,18.409241,17.960512,17.788187,17.698818,19.974243,18.756283,18.283253,18.131603,18.037798,19.591049,18.454863,17.990507,17.843807,17.769176
0.51514694,1.23256843,21.753525,19.526062,18.674763,18.35467,18.187397,22.136496,19.864159,18.998833,18.704254,18.49852,21.529585,19.558817,18.715992,18.415283,18.184309
0.51767055,1.14882561,21.165945,19.436125,18.820082,18.407614,18.281252,21.336943,19.612244,18.931936,18.59234,18.366951,20.379705,18.959839,18.229668,17.862101,17.668011
0.51767055,1.1488256,21.15662,19.435228,18.816706,18.407497,18.279999,21.326042,19.609673,18.930353,18.592024,18.365814,20.416393,18.967266,18.230087,17.858667,17.65029
0.51894088,1.1499852,23.350998,21.985712,21.484133,20.913988,20.681812,23.593321,21.94803,21.386694,21.042585,20.966492,22.00946,20.903929,20.610657,20.246885,20.335627
0.51846553,1.10873987,23.769859,21.634602,20.28163,18.927696,18.30566,23.661366,21.950186,20.644455,19.302153,18.635075,23.040461,21.576252,20.415251,19.054348,18.354858
0.52012177,1.20752133,24.411869,22.554358,20.875553,19.127304,18.090748,23.932056,22.880075,21.224403,19.471077,18.432453,22.79323,22.377594,21.014605,19.184607,18.171104
0.51567899,1.25970867,21.517946,23.905733,24.702864,25.287558,23.116024,21.915791,24.320787,24.762985,25.322224,22.872095,20.423737,25.387178,27.449461,25.961958,24.866993
0.51900428,1.2232368,21.834818,25.870247,25.596073,25.265272,23.242256,22.431734,26.253286,25.436905,25.670347,23.299475,21.724957,26.919846,25.823709,26.692602,24.458078
0.51412185,1.21250579,24.723242,23.133671,23.487501,23.670042,21.699249,24.131224,23.45505,23.939922,23.513754,21.931528,22.858961,22.899105,22.249722,22.669111,21.198786
0.51420057,1.18846001,22.891102,23.123259,22.778269,22.469452,23.130074,23.517139,23.295622,22.939823,22.743921,22.077377,21.271986,22.219879,21.877729,24.32905,22.835423
0.51493703,1.09084677,22.390333,22.593746,22.046196,21.809397,21.61319,22.682426,23.083445,22.309881,22.216166,21.774517,21.533739,22.753139,21.501057,24.254427,22.809776
0.51534182,1.07466248,23.771248,22.837702,21.614576,20.990927,20.466242,23.986132,23.173149,21.830669,21.307293,20.753513,22.034582,22.469948,21.631857,20.773998,20.55764
0.51545607,1.12343908,23.184467,23.126101,23.258972,23.313534,22.468922,23.608049,23.408352,23.863094,23.201611,22.031778,21.496666,22.760893,25.990358,21.454653,22.178675
0.51692243,1.10578212,23.662252,23.074856,22.33147,21.931698,23.113026,23.158743,23.123981,22.450466,22.068405,22.426203,21.26235,22.372974,21.944214,21.69701,21.641031
0.51735022,1.10230203,22.558475,22.824013,22.460531,22.11043,21.344318,22.803085,22.883017,22.698334,22.264572,21.411524,22.466257,22.571165,22.538355,21.649433,21.024811
0.51747336,1.05150095,24.163574,22.959793,22.431429,21.904684,21.852455,24.24415,23.08395,22.785337,22.485086,21.997919,24.770416,22.503941,23.404913,23.032393,22.839663
0.51795494,1.10068696,24.160095,23.111263,24.934237,23.740364,23.153625,23.832357,23.33004,23.965519,24.379927,22.876133,22.124844,22.804392,22.398712,26.314226,23.92845
0.5185765,1.20997804,23.329195,23.114471,23.240999,22.939907,22.19536,23.545273,23.253046,22.986843,22.815807,23.15403,23.925488,23.211079,22.823042,21.387583,24.248211
0.5187229,1.25240921,24.078632,22.605022,21.4471,20.988693,21.067125,23.771343,22.733057,21.654974,21.144035,21.139227,22.089647,21.989349,21.299257,20.491636,20.756218
0.51958968,1.07696904,25.545534,22.816378,22.39451,22.246534,21.759741,24.491838,22.855082,22.444279,22.02718,21.944365,20.638737,21.929283,21.856609,21.011024,25.738436
0.51976498,1.09901489,23.331457,22.906872,23.257275,22.696089,22.776548,23.10392,23.178583,23.323273,22.450056,23.512466,22.637653,22.973019,22.829285,21.478104,22.199936
0.51983726,1.17900202,24.184097,23.09746,23.819269,22.651669,22.677946,24.55793,23.570623,23.834267,23.099792,22.801023,24.630142,23.565626,23.574741,23.189051,22.828821
0.5203493,1.04925754,22.999065,23.086733,22.075512,21.483463,22.771975,23.174282,23.186762,22.019781,21.8864,22.2945,22.217676,22.44488,21.245531,21.078281,22.766527
0.52054018,1.19365542,23.281506,23.172491,22.507849,21.911663,21.120108,24.151745,23.588675,22.879585,22.49991,21.181316,24.95927,22.91905,22.7999,21.95208,20.797068
0.51373418,1.24546674,24.068716,23.486004,22.532658,21.27062,20.30566,23.603863,23.608463,22.819508,21.586344,20.507929,22.977955,23.227066,22.892113,21.49642,20.692041
0.51409678,1.13866382,23.103868,23.333803,22.451948,22.047115,21.882843,22.95512,23.280193,22.562498,22.09164,22.323959,21.847868,22.933321,22.383904,21.310284,26.385227
0.51410353,1.15490792,23.263317,24.853058,22.515528,21.777855,22.085836,23.365215,24.774771,22.573345,22.208256,22.435072,21.947874,26.235403,21.986582,21.335117,20.521376
0.51538765,1.111268,23.506189,25.042202,22.607063,24.045198,22.243937,23.164501,25.052761,23.412741,24.842838,22.693913,22.673336,25.192841,23.259756,25.286028,22.715696
0.51592416,1.12651295,22.904312,23.727877,22.363344,23.170416,23.179899,22.787111,23.645542,22.78693,23.340637,23.314976,22.681141,23.451727,22.596252,23.109865,25.137371
