ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
0.12102912,1.04080648,23.159836,20.759558,19.316883,17.948822,17.32692,23.351921,21.097183,19.676643,18.324902,17.649143,23.227383,20.619572,19.330162,18.011047,17.375986
0.12110988,1.02923829,22.323803,22.11668,21.103867,20.80942,20.964455,22.491135,22.37175,21.308821,21.073841,20.939859,21.673651,21.841511,20.793131,20.753853,20.248701
0.12275405,1.02681406,25.442854,23.117481,21.684755,21.160101,20.312042,24.090145,23.273428,21.757689,21.311491,20.682644,20.381413,20.647203,20.315189,19.624001,26.203508
0.12275403,1.02681416,25.443357,23.116978,21.677788,21.155947,20.288361,24.073248,23.234846,21.76202,21.322916,20.741428,23.424725,22.326889,20.900942,20.833382,22.720745
0.12356594,1.02805204,22.978128,22.222519,21.792074,21.452967,21.164379,22.691668,22.375668,21.937561,21.727631,22.086924,21.910864,21.998636,21.677149,21.276348,22.486401
0.12562775,1.04642002,24.041252,22.937681,24.052422,23.340351,23.089195,24.071495,23.653542,24.872025,23.43791,23.247145,24.690826,23.884588,24.768009,24.027985,23.185432
0.12729903,1.04381964,24.206585,22.101151,20.988852,20.537857,20.332039,23.728727,22.583643,21.40307,20.922243,20.648767,24.070608,22.777706,21.28359,20.620243,20.119341
0.12729904,1.04381963,24.2068,22.120031,20.984615,20.537619,20.34409,23.880064,22.562143,21.416622,20.924147,20.627893,24.558216,22.749872,21.273783,20.626976,20.127459
0.12457881,1.0053366,22.744091,23.183403,21.678585,21.112083,21.138023,22.818876,23.33279,21.822927,21.335464,21.424294,22.789515,23.123531,21.395861,20.736629,19.828188
0.12415053,1.00997748,23.617519,24.422314,22.83357,22.004219,22.917179,23.486168,24.195501,23.495031,22.537409,23.803349,23.832094,23.992773,23.74118,22.395136,23.370152
