ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
0.51629679,0.83642127,14.149828,12.696261,12.120218,11.949574,11.912672,14.513522,12.885316,12.226499,12.138499,12.16784,14.130233,12.695712,12.119627,11.948563,11.912018
0.51802164,0.68333073,23.518169,22.393957,20.999195,19.25176,18.332823,23.756712,22.665262,21.359995,19.635725,18.704775,21.936277,22.038204,20.615423,19.213949,18.320375
0.51674702,0.81655892,21.716991,22.11377,21.47245,21.597448,22.011175,22.290594,22.303396,21.666153,21.872944,21.802559,22.817579,21.87184,21.304729,21.3311,22.603678
0.51828943,0.78350087,21.839708,21.368547,20.946844,20.468735,20.017408,22.270838,21.672867,21.223333,20.839376,20.282732,21.729494,21.294769,20.889772,20.462578,19.671165
0.51907508,0.75554323,21.007944,24.572596,23.612459,22.572943,22.833857,22.034887,24.394711,23.222889,22.509398,23.247194,21.629715,23.138594,22.992697,22.476503,24.859262
0.51374729,0.76464107,24.087265,24.933147,22.407398,21.347609,20.727537,24.648121,24.434517,22.657784,21.448627,20.973734,25.16934,23.472761,22.06428,20.860237,19.876293
0.51398847,0.70332486,24.466999,23.855608,22.652706,22.772013,22.42301,24.539618,23.832872,22.890654,22.81156,22.604834,24.125645,23.104502,22.852547,21.919477,23.743437
0.51397389,0.77106201,23.884972,23.722277,22.677509,22.335712,21.338621,23.572962,24.15914,23.270271,23.118273,21.778101,22.853228,24.201292,23.779474,22.960194,22.665388
0.514829,0.66140908,23.774017,23.200735,21.979553,21.46866,21.282612,23.667059,23.139183,22.179905,21.713949,21.536451,22.708546,22.445112,21.906799,21.191008,21.350925
0.51464147,0.65987499,25.780626,23.9622,22.625067,20.759705,19.847107,25.364891,24.350428,23.272982,21.088072,20.145941,26.057011,24.242748,23.346834,20.902805,19.953793
0.51482899,0.66140906,23.793903,23.200825,21.98366,21.476015,21.287119,23.799076,23.152245,22.199635,21.702961,21.562601,22.515726,22.442923,21.927141,21.29974,21.264555
0.5163451,0.76872128,26.260067,23.60384,22.097342,21.127676,21.394175,25.969793,23.877716,22.525133,21.534174,21.56205,25.798191,23.718025,22.378838,21.222281,21.258253
0.51675211,0.63965231,24.290707,23.466501,21.728556,20.441355,19.679396,24.503365,23.60017,21.955696,20.854536,20.045378,25.474852,23.410019,21.47542,20.309633,19.580723
0.51722269,0.75349048,24.14547,23.517231,22.618059,22.016899,20.821249,23.734575,23.606653,22.677441,22.078459,21.111658,23.681276,22.580458,22.458145,21.51606,20.606709
0.51905678,0.82364036,23.673594,23.79287,23.043566,22.173153,21.766008,23.67441,23.467081,22.924259,21.868029,21.742966,22.338263,23.342096,22.125111,21.381048,20.486298
0.51492922,0.55442385,22.918709,20.090464,18.580532,17.520412,16.958879,23.429296,20.458183,18.932724,17.868349,17.291481,22.498163,20.14443,18.63562,17.569462,16.97402
0.51492282,0.55441742,22.90221,20.086277,18.579489,17.519871,16.961367,23.31789,20.446543,18.930214,17.866405,17.295937,24.673109,20.15547,18.634533,17.571787,16.988207
0.51870765,0.58159651,21.740782,20.06913,19.049025,18.687572,18.434261,22.198471,20.393654,19.400097,19.028383,18.800083,21.632202,20.080971,19.069653,18.719303,18.579288
0.51870765,0.58159651,21.732498,20.069784,19.047609,18.687284,18.434845,22.151983,20.391436,19.399513,19.029903,18.798656,21.657776,20.081503,19.072071,18.721012,18.580187
0.51984554,0.58037747,22.996656,22.871019,22.044672,22.201424,21.938824,23.482609,23.157928,22.274605,22.269678,21.89126,24.701046,22.4524,21.429237,21.645733,21.304932
0.52019003,0.6298558,20.888239,19.210979,18.448442,18.148335,17.747843,20.982157,19.30607,18.505093,18.094822,17.775087,20.139944,18.506254,17.704727,17.304167,16.972553
0.51439763,0.60934182,22.411434,21.993296,21.50913,21.511293,21.031723,22.972609,22.017527,21.467363,21.231251,21.054241,24.873196,21.356718,20.718805,20.809862,19.370382
0.51617551,0.60493895,22.431288,21.756121,20.347191,19.25901,18.637146,22.779762,22.042336,20.700403,19.597471,19.004074,22.532425,21.715582,20.400347,19.291025,18.670094
0.51454238,0.62345214,22.65432,23.11342,22.639362,21.891865,22.330986,22.839354,23.384214,22.772484,21.883787,22.7138,23.407425,23.066187,22.474438,21.764179,22.853739
0.51523194,0.62255643,24.229267,23.001453,21.96245,22.102316,21.076334,24.401491,23.367025,22.177919,22.302952,21.368916,26.248671,22.601667,21.618013,22.256765,21.908619
0.51558474,0.5433772,23.183413,22.797503,21.946337,21.562996,20.662079,23.512867,23.085022,22.04743,21.812431,20.551634,21.585032,23.514729,21.441019,22.064217,19.795433
0.51570453,0.51709824,22.767336,22.265656,21.798651,21.794523,22.953424,22.644964,22.79323,22.18148,22.113441,22.494665,22.004564,22.481447,21.93873,21.81144,21.968102
0.51593423,0.58577956,23.295153,22.430378,21.150442,20.915693,20.234474,23.905117,22.427896,21.149389,20.757584,20.18516,25.718798,21.938606,20.398468,19.929337,19.435802
0.51639831,0.58886151,24.947062,22.886194,21.55492,21.059645,20.443575,24.390514,23.073423,21.87034,21.318031,20.974525,25.922413,23.514582,21.753231,20.977962,20.443291
0.51637247,0.58102676,22.749832,23.009928,22.214005,22.055475,22.017426,22.976351,23.352188,22.519291,22.320244,22.237312,24.104637,23.248238,21.753891,21.018864,20.54307
0.51577782,0.58176796,24.813776,23.555489,22.329872,21.276409,20.259129,25.275305,24.129234,22.481422,21.370344,20.533474,23.358782,25.355082,21.781864,20.640438,19.72286
0.51637267,0.58102602,22.642416,23.004658,22.218801,22.083818,22.036585,22.931467,23.337122,22.590843,22.317116,22.199675,22.825653,23.076647,22.262783,22.0427,22.355625
0.51397064,0.52731708,23.249817,23.770836,22.503344,22.534643,22.312567,23.121439,24.00367,22.675884,22.295732,22.04867,22.089094,24.662199,22.115389,21.758221,20.626034
0.51545423,0.52071928,22.992104,23.473568,21.937494,21.431078,20.500456,23.64196,23.591179,22.157593,21.533607,20.607672,24.692457,23.246874,21.787155,21.054876,20.601055
0.51555421,0.57573889,23.39924,23.418547,21.888725,21.639137,21.747913,23.680244,23.307962,22.011177,21.887384,21.488798,26.41399,23.116905,21.797958,21.461702,20.721729
0.51663368,0.62178123,22.811728,23.81883,22.565014,23.145348,23.297108,22.988655,24.512733,22.763117,23.054382,23.327059,23.121164,27.159317,23.8883,26.428732,21.634794
0.51719129,0.57493411,23.58049,23.662008,22.475584,21.830132,21.971634,23.373543,23.813379,22.583179,21.810326,21.682217,24.107155,24.756929,21.733511,21.094248,21.050097
0.51944641,0.57785848,22.638504,23.434687,22.173326,21.679787,21.366352,22.716404,23.732126,22.455053,21.85198,21.45631,22.677305,23.237507,22.248007,21.539818,20.642036
0.51473305,0.58866212,24.802458,23.828056,23.032322,21.971375,21.591894,24.300058,23.93445,22.906639,22.026743,21.961754,27.510996,23.173918,21.114031,21.024487,21.974407
0.51579774,0.59480018,23.181139,23.446428,22.932463,21.93577,21.665596,23.363144,23.655983,22.889133,21.850323,22.381372,22.117044,23.198013,22.914171,21.876278,20.706074
0.51633502,0.56386911,23.824562,25.477158,23.230452,21.347979,19.869125,24.27907,25.85751,23.76687,21.874495,20.203323,24.39068,26.294167,23.715784,21.631804,19.900938
0.5189917,0.55442287,23.2805,23.74061,23.236715,21.943258,22.240877,23.040831,23.776873,23.293644,22.022837,22.301657,21.794439,24.65815,24.066944,21.73838,22.666836
0.51840933,0.58744613,24.047905,25.6521,24.891193,25.055674,20.632524,23.863892,25.167536,24.222498,25.204712,21.324362,24.214338,24.922684,23.850365,25.478361,21.473587
0.51652785,0.53140548,24.416611,25.144075,24.160862,22.223219,21.498928,24.790388,24.861477,23.595232,22.135967,21.403,24.657442,27.820919,21.650114,20.990046,22.801479
0.5176789,0.54697014,23.870756,24.57003,25.163147,24.728546,23.934963,23.721865,24.927416,24.506416,25.448092,24.311184,25.542316,26.031134,26.828304,26.411785,25.313623
0.51629415,0.83647131,14.090287,12.639294,12.128592,11.941401,11.851854,14.444079,12.851004,12.292928,12.077451,12.219465,13.072387,12.072999,11.54983,11.380559,10.731392
